ダウンロードした時刻：2023/11/04 23:37:13

,,,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1924,1,1,0.6,8,1,6.3,8,1,-4.1,8,1
1924,1,2,4.2,8,1,13.9,8,1,-4.3,8,1
1924,1,3,2.8,8,1,10.0,8,1,-2.2,8,1
1924,1,4,3.6,8,1,12.8,8,1,-3.2,8,1
1924,1,5,4.2,8,1,11.8,8,1,-1.2,8,1
1924,1,6,2.3,8,1,8.0,8,1,-2.6,8,1
1924,1,7,6.9,8,1,14.2,8,1,-1.1,8,1
1924,1,8,3.2,8,1,7.5,8,1,-0.4,8,1
1924,1,9,0.9,8,1,6.8,8,1,-4.5,8,1
1924,1,10,3.6,8,1,7.7,8,1,-1.6,8,1
1924,1,11,3.2,8,1,9.1,8,1,-0.3,8,1
1924,1,12,2.7,8,1,9.9,8,1,-3.6,8,1
1924,1,13,3.3,8,1,11.8,8,1,-2.4,8,1
1924,1,14,6.3,8,1,12.6,8,1,2.1,8,1
1924,1,15,4.1,8,1,9.9,8,1,-0.4,8,1
1924,1,16,3.0,8,1,6.8,8,1,0.4,8,1
1924,1,17,0.9,8,1,4.9,8,1,-2.1,8,1
1924,1,18,1.8,8,1,6.7,8,1,-3.7,8,1
1924,1,19,1.1,8,1,6.4,8,1,-2.4,8,1
1924,1,20,3.3,8,1,10.9,8,1,-3.6,8,1
1924,1,21,3.4,8,1,8.4,8,1,-2.6,8,1
1924,1,22,3.5,8,1,8.0,8,1,-0.5,8,1
1924,1,23,1.8,8,1,7.4,8,1,-2.8,8,1
1924,1,24,0.7,8,1,5.8,8,1,-4.2,8,1
1924,1,25,2.2,8,1,8.6,8,1,-2.0,8,1
1924,1,26,1.9,8,1,7.1,8,1,-3.4,8,1
1924,1,27,1.5,8,1,5.0,8,1,-1.7,8,1
1924,1,28,1.6,8,1,8.3,8,1,-4.9,8,1
1924,1,29,2.3,8,1,8.0,8,1,-2.2,8,1
1924,1,30,0.7,8,1,7.9,8,1,-3.7,8,1
1924,1,31,2.4,8,1,10.9,8,1,-3.5,8,1
1925,1,1,7.4,8,1,12.3,8,1,3.2,8,1
1925,1,2,4.9,8,1,10.3,8,1,1.5,8,1
1925,1,3,4.0,8,1,10.9,8,1,-2.0,8,1
1925,1,4,3.9,8,1,6.9,8,1,-0.1,8,1
1925,1,5,3.7,8,1,8.3,8,1,0.3,8,1
1925,1,6,3.5,8,1,8.9,8,1,-0.3,8,1
1925,1,7,1.1,8,1,5.4,8,1,-2.4,8,1
1925,1,8,3.2,8,1,9.2,8,1,-1.4,8,1
1925,1,9,3.6,8,1,7.3,8,1,-1.1,8,1
1925,1,10,1.6,8,1,5.7,8,1,-1.2,8,1
1925,1,11,3.1,8,1,9.9,8,1,-2.4,8,1
1925,1,12,3.6,8,1,7.3,8,1,-1.0,8,1
1925,1,13,3.1,8,1,7.4,8,1,-0.3,8,1
1925,1,14,3.1,8,1,7.9,8,1,-3.3,8,1
1925,1,15,3.6,8,1,7.4,8,1,-0.1,8,1
1925,1,16,1.6,8,1,5.7,8,1,-2.6,8,1
1925,1,17,1.6,8,1,5.4,8,1,-2.7,8,1
1925,1,18,2.7,8,1,8.2,8,1,-0.6,8,1
1925,1,19,1.7,8,1,7.9,8,1,-3.6,8,1
1925,1,20,2.4,8,1,9.3,8,1,-4.2,8,1
1925,1,21,2.1,8,1,7.4,8,1,-2.5,8,1
1925,1,22,2.5,8,1,9.5,8,1,-3.5,8,1
1925,1,23,4.5,8,1,9.3,8,1,0.2,8,1
1925,1,24,4.8,8,1,11.9,8,1,-0.8,8,1
1925,1,25,3.0,8,1,7.0,8,1,-0.1,8,1
1925,1,26,1.9,8,1,6.4,8,1,-2.8,8,1
1925,1,27,3.1,8,1,10.1,8,1,-3.7,8,1
1925,1,28,3.5,8,1,10.8,8,1,-2.1,8,1
1925,1,29,1.8,8,1,3.9,8,1,-1.0,8,1
1925,1,30,-0.2,8,1,1.1,8,1,-2.4,8,1
1925,1,31,-0.6,8,1,6.7,8,1,-6.7,8,1
1926,1,1,2.5,8,1,9.9,8,1,-3.7,8,1
1926,1,2,7.8,8,1,15.4,8,1,-2.6,8,1
1926,1,3,0.7,8,1,4.5,8,1,-3.9,8,1
1926,1,4,2.5,8,1,10.4,8,1,-4.8,8,1
1926,1,5,2.4,8,1,9.1,8,1,-4.1,8,1
1926,1,6,3.9,8,1,8.4,8,1,-0.2,8,1
1926,1,7,1.8,8,1,8.3,8,1,-3.8,8,1
1926,1,8,1.8,8,1,7.6,8,1,-3.4,8,1
1926,1,9,3.4,8,1,9.3,8,1,-2.0,8,1
1926,1,10,4.9,8,1,10.4,8,1,0.6,8,1
1926,1,11,4.3,8,1,10.5,8,1,-2.8,8,1
1926,1,12,5.0,8,1,8.9,8,1,-1.8,8,1
1926,1,13,7.7,8,1,14.4,8,1,0.8,8,1
1926,1,14,8.2,8,1,12.4,8,1,4.7,8,1
1926,1,15,5.6,8,1,9.6,8,1,2.4,8,1
1926,1,16,2.9,8,1,4.3,8,1,1.5,8,1
1926,1,17,3.8,8,1,8.9,8,1,1.1,8,1
1926,1,18,3.6,8,1,12.4,8,1,-2.6,8,1
1926,1,19,5.8,8,1,14.4,8,1,0.3,8,1
1926,1,20,4.4,8,1,8.4,8,1,-0.8,8,1
1926,1,21,1.1,8,1,5.6,8,1,-3.6,8,1
1926,1,22,-0.7,8,1,6.4,8,1,-6.6,8,1
1926,1,23,0.5,8,1,7.5,8,1,-6.8,8,1
