ダウンロードした時刻：2023/11/04 23:37:23

,,,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1924,3,1,2.9,8,1,7.1,8,1,0.4,8,1
1924,3,2,3.3,8,1,8.7,8,1,-0.6,8,1
1924,3,3,3.3,8,1,8.6,8,1,-0.1,8,1
1924,3,4,5.1,8,1,10.6,8,1,1.3,8,1
1924,3,5,4.7,8,1,7.5,8,1,2.2,8,1
1924,3,6,4.9,8,1,10.1,8,1,-1.3,8,1
1924,3,7,2.8,8,1,7.3,8,1,-1.7,8,1
1924,3,8,2.9,8,1,8.6,8,1,-4.3,8,1
1924,3,9,4.4,8,1,9.9,8,1,-2.6,8,1
1924,3,10,4.9,8,1,9.5,8,1,1.4,8,1
1924,3,11,4.6,8,1,10.0,8,1,0.5,8,1
1924,3,12,4.7,8,1,9.3,8,1,-1.9,8,1
1924,3,13,3.9,8,1,6.4,8,1,1.6,8,1
1924,3,14,2.6,8,1,6.7,8,1,-1.8,8,1
1924,3,15,2.1,8,1,8.4,8,1,-4.3,8,1
1924,3,16,3.2,8,1,9.4,8,1,-2.9,8,1
1924,3,17,3.0,8,1,8.3,8,1,-1.2,8,1
1924,3,18,2.6,8,1,8.2,8,1,-3.8,8,1
1924,3,19,5.1,8,1,11.2,8,1,-1.0,8,1
1924,3,20,6.6,8,1,12.4,8,1,0.0,8,1
1924,3,21,7.6,8,1,12.8,8,1,4.3,8,1
1924,3,22,9.4,8,1,14.6,8,1,2.9,8,1
1924,3,23,9.8,8,1,16.7,8,1,3.1,8,1
1924,3,24,8.4,8,1,13.5,8,1,2.2,8,1
1924,3,25,6.5,8,1,10.2,8,1,2.4,8,1
1924,3,26,3.8,8,1,6.7,8,1,2.3,8,1
1924,3,27,5.4,8,1,12.3,8,1,0.0,8,1
1924,3,28,3.0,8,1,7.7,8,1,-1.4,8,1
1924,3,29,5.5,8,1,11.1,8,1,-2.7,8,1
1924,3,30,8.7,8,1,15.7,8,1,3.1,8,1
1924,3,31,9.8,8,1,15.1,8,1,3.7,8,1
1925,3,1,0.7,8,1,6.9,8,1,-4.1,8,1
1925,3,2,3.4,8,1,11.1,8,1,-2.6,8,1
1925,3,3,4.0,8,1,10.3,8,1,-0.9,8,1
1925,3,4,5.2,8,1,13.7,8,1,-1.4,8,1
1925,3,5,6.0,8,1,14.0,8,1,0.2,8,1
1925,3,6,4.1,8,1,9.8,8,1,-0.8,8,1
1925,3,7,3.7,8,1,13.4,8,1,-2.4,8,1
1925,3,8,2.5,8,1,7.7,8,1,-3.0,8,1
1925,3,9,7.7,8,1,17.0,8,1,-2.6,8,1
1925,3,10,8.9,8,1,14.9,8,1,2.9,8,1
1925,3,11,9.7,8,1,19.6,8,1,0.7,8,1
1925,3,12,3.6,8,1,8.8,8,1,0.3,8,1
1925,3,13,4.9,8,1,9.4,8,1,-0.9,8,1
1925,3,14,9.6,8,1,20.1,8,1,0.6,8,1
1925,3,15,6.3,8,1,8.3,8,1,4.6,8,1
1925,3,16,5.9,8,1,10.8,8,1,0.8,8,1
1925,3,17,3.9,8,1,9.9,8,1,-2.9,8,1
1925,3,18,6.1,8,1,12.1,8,1,-0.4,8,1
1925,3,19,6.1,8,1,12.5,8,1,-0.6,8,1
1925,3,20,5.1,8,1,11.1,8,1,0.4,8,1
1925,3,21,4.6,8,1,12.2,8,1,-3.0,8,1
1925,3,22,6.5,8,1,13.4,8,1,-1.0,8,1
1925,3,23,6.0,8,1,7.4,8,1,3.1,8,1
1925,3,24,10.4,8,1,15.4,8,1,3.8,8,1
1925,3,25,8.2,8,1,10.9,8,1,5.9,8,1
1925,3,26,8.3,8,1,13.4,8,1,2.9,8,1
1925,3,27,5.2,8,1,7.3,8,1,3.3,8,1
1925,3,28,7.2,8,1,12.4,8,1,1.7,8,1
1925,3,29,8.0,8,1,11.1,8,1,4.4,8,1
1925,3,30,10.3,8,1,17.2,8,1,3.7,8,1
1925,3,31,9.3,8,1,15.0,8,1,1.3,8,1
1926,3,1,5.2,8,1,7.3,8,1,3.0,8,1
1926,3,2,7.8,8,1,13.9,8,1,3.9,8,1
1926,3,3,8.4,8,1,15.8,8,1,0.4,8,1
1926,3,4,7.3,8,1,8.9,8,1,4.8,8,1
1926,3,5,2.5,8,1,4.8,8,1,0.4,8,1
1926,3,6,3.8,8,1,8.6,8,1,-2.1,8,1
1926,3,7,2.6,8,1,4.7,8,1,0.1,8,1
1926,3,8,6.2,8,1,12.3,8,1,-0.1,8,1
1926,3,9,5.9,8,1,9.7,8,1,1.4,8,1
1926,3,10,3.9,8,1,5.4,8,1,1.9,8,1
1926,3,11,6.5,8,1,12.4,8,1,1.6,8,1
1926,3,12,7.1,8,1,12.9,8,1,2.0,8,1
1926,3,13,7.8,8,1,12.8,8,1,-0.3,8,1
1926,3,14,10.4,8,1,16.5,8,1,5.6,8,1
1926,3,15,10.9,8,1,17.2,8,1,5.4,8,1
1926,3,16,5.3,8,1,9.8,8,1,0.5,8,1
1926,3,17,5.5,8,1,10.5,8,1,-0.6,8,1
1926,3,18,6.0,8,1,10.5,8,1,2.6,8,1
1926,3,19,3.4,8,1,5.9,8,1,0.8,8,1
1926,3,20,1.0,8,1,1.7,8,1,0.1,8,1
1926,3,21,3.8,8,1,9.3,8,1,0.4,8,1
1926,3,22,5.7,8,1,10.9,8,1,-1.5,8,1
1926,3,23,6.0,8,1,12.0,8,1,0.5,8,1
1926,3,24,6.2,8,1,11.9,8,1,-1.0,8,1
