ダウンロードした時刻：2023/11/04 23:37:55

,,,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1924,9,1,26.7,8,1,30.3,8,1,24.0,8,1
1924,9,2,26.3,8,1,30.0,8,1,23.1,8,1
1924,9,3,25.8,8,1,29.8,8,1,22.6,8,1
1924,9,4,25.2,8,1,29.8,8,1,21.4,8,1
1924,9,5,23.0,8,1,25.3,8,1,21.2,8,1
1924,9,6,20.2,8,1,22.6,8,1,18.0,8,1
1924,9,7,22.4,8,1,29.2,8,1,16.4,8,1
1924,9,8,23.7,8,1,29.7,8,1,17.8,8,1
1924,9,9,26.0,8,1,31.5,8,1,20.9,8,1
1924,9,10,25.3,8,1,30.9,8,1,21.4,8,1
1924,9,11,23.6,8,1,27.9,8,1,19.4,8,1
1924,9,12,22.5,8,1,24.8,8,1,20.3,8,1
1924,9,13,24.3,8,1,30.4,8,1,18.6,8,1
1924,9,14,21.9,8,1,24.4,8,1,20.0,8,1
1924,9,15,19.2,8,1,21.7,8,1,16.6,8,1
1924,9,16,18.9,8,1,22.8,8,1,16.1,8,1
1924,9,17,22.7,8,1,26.4,8,1,20.8,8,1
1924,9,18,24.2,8,1,29.7,8,1,19.0,8,1
1924,9,19,21.7,8,1,25.5,8,1,18.3,8,1
1924,9,20,20.1,8,1,24.8,8,1,15.3,8,1
1924,9,21,17.2,8,1,19.8,8,1,15.4,8,1
1924,9,22,20.1,8,1,25.7,8,1,15.7,8,1
1924,9,23,21.3,8,1,25.8,8,1,17.3,8,1
1924,9,24,21.3,8,1,25.6,8,1,17.3,8,1
1924,9,25,20.6,8,1,25.4,8,1,17.1,8,1
1924,9,26,19.1,8,1,25.0,8,1,14.6,8,1
1924,9,27,16.6,8,1,18.7,8,1,14.5,8,1
1924,9,28,17.7,8,1,23.4,8,1,12.7,8,1
1924,9,29,16.3,8,1,17.6,8,1,14.9,8,1
1924,9,30,20.4,8,1,23.0,8,1,15.8,8,1
1925,9,1,26.9,8,1,30.5,8,1,24.5,8,1
1925,9,2,26.5,8,1,30.1,8,1,23.0,8,1
1925,9,3,22.7,8,1,24.4,8,1,20.9,8,1
1925,9,4,22.7,8,1,25.0,8,1,20.5,8,1
1925,9,5,23.6,8,1,27.8,8,1,19.8,8,1
1925,9,6,25.5,8,1,29.5,8,1,22.1,8,1
1925,9,7,26.2,8,1,29.7,8,1,23.2,8,1
1925,9,8,26.5,8,1,29.9,8,1,23.8,8,1
1925,9,9,23.3,8,1,26.0,8,1,20.9,8,1
1925,9,10,20.9,8,1,22.5,8,1,18.6,8,1
1925,9,11,25.2,8,1,27.8,8,1,22.0,8,1
1925,9,12,26.8,8,1,30.9,8,1,23.1,8,1
1925,9,13,25.1,8,1,29.5,8,1,22.3,8,1
1925,9,14,25.8,8,1,29.7,8,1,23.3,8,1
1925,9,15,25.3,8,1,29.7,8,1,20.3,8,1
1925,9,16,25.8,8,1,29.6,8,1,21.9,8,1
1925,9,17,22.4,8,1,27.5,8,1,18.4,8,1
1925,9,18,18.1,8,1,19.8,8,1,16.3,8,1
1925,9,19,22.9,8,1,28.0,8,1,16.0,8,1
1925,9,20,22.4,8,1,27.9,8,1,17.5,8,1
1925,9,21,21.9,8,1,26.5,8,1,16.4,8,1
1925,9,22,22.4,8,1,28.4,8,1,17.3,8,1
1925,9,23,21.8,8,1,25.6,8,1,17.7,8,1
1925,9,24,21.8,8,1,25.5,8,1,18.3,8,1
1925,9,25,18.8,8,1,20.0,8,1,17.5,8,1
1925,9,26,19.0,8,1,25.9,8,1,15.2,8,1
1925,9,27,18.5,8,1,24.4,8,1,12.2,8,1
1925,9,28,18.5,8,1,22.5,8,1,13.8,8,1
1925,9,29,18.7,8,1,19.7,8,1,17.0,8,1
1925,9,30,19.7,8,1,22.3,8,1,17.6,8,1
1926,9,1,25.2,8,1,29.6,8,1,22.0,8,1
1926,9,2,24.9,8,1,30.0,8,1,21.3,8,1
1926,9,3,24.9,8,1,28.4,8,1,21.0,8,1
1926,9,4,25.9,8,1,27.8,8,1,23.8,8,1
1926,9,5,26.6,8,1,31.9,8,1,21.5,8,1
1926,9,6,25.2,8,1,31.0,8,1,21.0,8,1
1926,9,7,23.1,8,1,25.4,8,1,20.5,8,1
1926,9,8,25.2,8,1,29.9,8,1,22.0,8,1
1926,9,9,26.1,8,1,30.2,8,1,22.5,8,1
1926,9,10,27.6,8,1,32.5,8,1,23.7,8,1
1926,9,11,25.3,8,1,28.3,8,1,23.0,8,1
1926,9,12,26.4,8,1,32.3,8,1,22.5,8,1
1926,9,13,26.6,8,1,31.1,8,1,22.3,8,1
1926,9,14,26.2,8,1,31.1,8,1,22.8,8,1
1926,9,15,23.2,8,1,27.7,8,1,19.5,8,1
1926,9,16,22.9,8,1,26.6,8,1,20.4,8,1
1926,9,17,19.5,8,1,22.8,8,1,17.2,8,1
1926,9,18,19.8,8,1,22.4,8,1,16.9,8,1
1926,9,19,22.3,8,1,28.5,8,1,18.4,8,1
1926,9,20,22.0,8,1,26.9,8,1,18.4,8,1
1926,9,21,21.3,8,1,27.0,8,1,15.9,8,1
1926,9,22,20.2,8,1,23.3,8,1,18.2,8,1
1926,9,23,18.5,8,1,19.2,8,1,17.5,8,1
1926,9,24,20.7,8,1,23.6,8,1,18.5,8,1
1926,9,25,24.3,8,1,28.9,8,1,20.5,8,1
1926,9,26,22.4,8,1,26.2,8,1,18.8,8,1
1926,9,27,23.5,8,1,28.5,8,1,19.2,8,1
