ダウンロードした時刻：2023/11/04 23:38:00

,,,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1924,10,1,16.8,8,1,18.5,8,1,15.4,8,1
1924,10,2,18.0,8,1,24.3,8,1,13.3,8,1
1924,10,3,19.8,8,1,25.6,8,1,14.4,8,1
1924,10,4,21.1,8,1,26.9,8,1,15.2,8,1
1924,10,5,20.1,8,1,24.2,8,1,17.1,8,1
1924,10,6,16.6,8,1,17.1,8,1,15.6,8,1
1924,10,7,18.8,8,1,21.3,8,1,16.3,8,1
1924,10,8,20.1,8,1,22.8,8,1,18.5,8,1
1924,10,9,18.7,8,1,21.8,8,1,15.4,8,1
1924,10,10,18.3,8,1,22.4,8,1,15.4,8,1
1924,10,11,17.4,8,1,22.3,8,1,11.9,8,1
1924,10,12,18.2,8,1,23.2,8,1,15.7,8,1
1924,10,13,16.0,8,1,20.9,8,1,11.7,8,1
1924,10,14,15.7,8,1,21.2,8,1,11.0,8,1
1924,10,15,15.6,8,1,22.6,8,1,10.1,8,1
1924,10,16,15.8,8,1,20.4,8,1,10.4,8,1
1924,10,17,14.3,8,1,18.7,8,1,7.9,8,1
1924,10,18,11.7,8,1,16.7,8,1,6.9,8,1
1924,10,19,13.0,8,1,14.8,8,1,10.5,8,1
1924,10,20,16.0,8,1,18.7,8,1,13.2,8,1
1924,10,21,10.7,8,1,13.7,8,1,9.5,8,1
1924,10,22,13.0,8,1,14.7,8,1,10.4,8,1
1924,10,23,13.3,8,1,15.1,8,1,10.6,8,1
1924,10,24,14.3,8,1,18.9,8,1,10.9,8,1
1924,10,25,11.7,8,1,16.7,8,1,8.3,8,1
1924,10,26,11.3,8,1,17.4,8,1,6.9,8,1
1924,10,27,12.2,8,1,18.3,8,1,4.7,8,1
1924,10,28,12.3,8,1,14.7,8,1,10.9,8,1
1924,10,29,14.1,8,1,21.3,8,1,7.0,8,1
1924,10,30,11.3,8,1,16.7,8,1,6.2,8,1
1924,10,31,10.2,8,1,13.9,8,1,6.3,8,1
1925,10,1,23.1,8,1,30.3,8,1,17.8,8,1
1925,10,2,21.4,8,1,23.4,8,1,19.3,8,1
1925,10,3,19.6,8,1,25.7,8,1,15.8,8,1
1925,10,4,17.7,8,1,23.6,8,1,10.6,8,1
1925,10,5,18.3,8,1,23.4,8,1,13.6,8,1
1925,10,6,19.3,8,1,22.9,8,1,16.4,8,1
1925,10,7,17.5,8,1,19.1,8,1,16.1,8,1
1925,10,8,17.1,8,1,17.9,8,1,15.7,8,1
1925,10,9,19.9,8,1,22.2,8,1,17.1,8,1
1925,10,10,21.0,8,1,22.2,8,1,20.0,8,1
1925,10,11,18.8,8,1,21.4,8,1,14.4,8,1
1925,10,12,16.5,8,1,22.4,8,1,10.6,8,1
1925,10,13,16.2,8,1,21.0,8,1,13.7,8,1
1925,10,14,15.2,8,1,20.5,8,1,11.4,8,1
1925,10,15,14.9,8,1,20.0,8,1,9.0,8,1
1925,10,16,15.7,8,1,20.2,8,1,11.6,8,1
1925,10,17,13.7,8,1,14.5,8,1,12.4,8,1
1925,10,18,15.7,8,1,18.8,8,1,13.1,8,1
1925,10,19,16.4,8,1,20.4,8,1,10.8,8,1
1925,10,20,17.7,8,1,24.3,8,1,12.9,8,1
1925,10,21,15.4,8,1,21.8,8,1,9.4,8,1
1925,10,22,14.1,8,1,17.1,8,1,10.2,8,1
1925,10,23,12.4,8,1,14.9,8,1,10.1,8,1
1925,10,24,11.6,8,1,16.2,8,1,8.7,8,1
1925,10,25,11.5,8,1,17.1,8,1,8.0,8,1
1925,10,26,13.1,8,1,20.2,8,1,5.2,8,1
1925,10,27,14.1,8,1,19.4,8,1,9.4,8,1
1925,10,28,13.5,8,1,20.1,8,1,8.3,8,1
1925,10,29,12.1,8,1,15.8,8,1,7.4,8,1
1925,10,30,14.5,8,1,20.3,8,1,11.6,8,1
1925,10,31,16.2,8,1,23.3,8,1,10.7,8,1
1926,10,1,16.6,8,1,19.2,8,1,13.6,8,1
1926,10,2,18.9,8,1,25.3,8,1,14.3,8,1
1926,10,3,17.8,8,1,23.5,8,1,11.9,8,1
1926,10,4,17.2,8,1,24.2,8,1,10.3,8,1
1926,10,5,17.5,8,1,24.4,8,1,11.3,8,1
1926,10,6,19.6,8,1,23.7,8,1,16.3,8,1
1926,10,7,16.4,8,1,20.0,8,1,15.0,8,1
1926,10,8,14.3,8,1,15.1,8,1,13.1,8,1
1926,10,9,15.6,8,1,17.4,8,1,13.1,8,1
1926,10,10,15.6,8,1,19.9,8,1,12.4,8,1
1926,10,11,15.2,8,1,18.2,8,1,12.4,8,1
1926,10,12,16.7,8,1,21.7,8,1,11.1,8,1
1926,10,13,16.3,8,1,21.9,8,1,11.8,8,1
1926,10,14,14.7,8,1,20.6,8,1,10.3,8,1
1926,10,15,12.6,8,1,15.5,8,1,8.4,8,1
1926,10,16,12.7,8,1,13.9,8,1,10.5,8,1
1926,10,17,15.4,8,1,19.8,8,1,12.7,8,1
1926,10,18,16.2,8,1,21.4,8,1,12.7,8,1
1926,10,19,14.4,8,1,20.9,8,1,9.6,8,1
1926,10,20,13.4,8,1,18.4,8,1,7.0,8,1
1926,10,21,12.9,8,1,19.0,8,1,6.9,8,1
1926,10,22,13.1,8,1,21.0,8,1,6.5,8,1
1926,10,23,14.4,8,1,20.9,8,1,9.1,8,1
1926,10,24,14.1,8,1,19.5,8,1,9.7,8,1
1926,10,25,14.4,8,1,21.1,8,1,8.5,8,1
