ダウンロードした時刻：2023/11/04 23:37:34

,,,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1924,5,1,18.8,8,1,22.3,8,1,16.3,8,1
1924,5,2,18.1,8,1,24.2,8,1,14.5,8,1
1924,5,3,12.6,8,1,16.6,8,1,10.7,8,1
1924,5,4,15.0,8,1,19.0,8,1,10.9,8,1
1924,5,5,17.1,8,1,20.7,8,1,13.6,8,1
1924,5,6,15.0,8,1,18.7,8,1,11.0,8,1
1924,5,7,16.0,8,1,21.0,8,1,10.9,8,1
1924,5,8,16.0,8,1,18.5,8,1,14.0,8,1
1924,5,9,16.9,8,1,24.2,8,1,10.8,8,1
1924,5,10,15.9,8,1,22.5,8,1,6.9,8,1
1924,5,11,17.9,8,1,24.7,8,1,8.7,8,1
1924,5,12,14.8,8,1,19.3,8,1,9.1,8,1
1924,5,13,14.2,8,1,20.0,8,1,6.6,8,1
1924,5,14,15.7,8,1,20.9,8,1,8.4,8,1
1924,5,15,16.1,8,1,18.2,8,1,14.6,8,1
1924,5,16,17.4,8,1,22.1,8,1,12.7,8,1
1924,5,17,17.4,8,1,22.8,8,1,12.2,8,1
1924,5,18,15.9,8,1,20.6,8,1,10.0,8,1
1924,5,19,17.4,8,1,23.4,8,1,9.8,8,1
1924,5,20,15.7,8,1,18.1,8,1,13.1,8,1
1924,5,21,15.8,8,1,20.0,8,1,12.4,8,1
1924,5,22,17.0,8,1,21.6,8,1,13.4,8,1
1924,5,23,18.5,8,1,23.4,8,1,12.6,8,1
1924,5,24,17.6,8,1,20.7,8,1,14.4,8,1
1924,5,25,18.2,8,1,26.0,8,1,13.2,8,1
1924,5,26,19.7,8,1,26.4,8,1,12.4,8,1
1924,5,27,20.3,8,1,26.8,8,1,14.1,8,1
1924,5,28,18.4,8,1,24.1,8,1,13.8,8,1
1924,5,29,17.9,8,1,23.4,8,1,13.1,8,1
1924,5,30,18.1,8,1,22.5,8,1,11.7,8,1
1924,5,31,19.9,8,1,25.4,8,1,13.7,8,1
1925,5,1,13.0,8,1,18.4,8,1,4.9,8,1
1925,5,2,16.3,8,1,24.4,8,1,7.4,8,1
1925,5,3,16.4,8,1,20.9,8,1,14.3,8,1
1925,5,4,16.9,8,1,23.9,8,1,11.9,8,1
1925,5,5,17.3,8,1,23.9,8,1,10.5,8,1
1925,5,6,18.6,8,1,27.9,8,1,10.1,8,1
1925,5,7,16.9,8,1,20.5,8,1,12.4,8,1
1925,5,8,14.3,8,1,17.9,8,1,10.9,8,1
1925,5,9,10.8,8,1,13.9,8,1,8.3,8,1
1925,5,10,11.3,8,1,16.4,8,1,6.8,8,1
1925,5,11,15.3,8,1,20.7,8,1,9.9,8,1
1925,5,12,17.0,8,1,23.4,8,1,10.9,8,1
1925,5,13,17.3,8,1,24.4,8,1,11.5,8,1
1925,5,14,16.1,8,1,21.4,8,1,9.4,8,1
1925,5,15,14.8,8,1,17.1,8,1,13.6,8,1
1925,5,16,15.5,8,1,19.9,8,1,12.0,8,1
1925,5,17,13.1,8,1,16.1,8,1,10.9,8,1
1925,5,18,16.3,8,1,21.8,8,1,10.0,8,1
1925,5,19,19.5,8,1,25.5,8,1,15.3,8,1
1925,5,20,18.4,8,1,23.9,8,1,11.9,8,1
1925,5,21,17.2,8,1,22.3,8,1,10.7,8,1
1925,5,22,15.8,8,1,21.0,8,1,8.0,8,1
1925,5,23,17.1,8,1,22.6,8,1,10.7,8,1
1925,5,24,17.6,8,1,25.1,8,1,11.9,8,1
1925,5,25,18.0,8,1,24.7,8,1,9.8,8,1
1925,5,26,19.0,8,1,24.1,8,1,14.7,8,1
1925,5,27,14.2,8,1,16.7,8,1,10.9,8,1
1925,5,28,12.5,8,1,14.0,8,1,10.4,8,1
1925,5,29,15.7,8,1,19.1,8,1,12.4,8,1
1925,5,30,17.2,8,1,21.9,8,1,14.6,8,1
1925,5,31,18.8,8,1,24.4,8,1,11.5,8,1
1926,5,1,15.3,8,1,22.1,8,1,6.7,8,1
1926,5,2,15.5,8,1,22.5,8,1,7.0,8,1
1926,5,3,17.0,8,1,23.1,8,1,9.6,8,1
1926,5,4,17.5,8,1,22.1,8,1,12.7,8,1
1926,5,5,15.3,8,1,19.5,8,1,11.6,8,1
1926,5,6,14.3,8,1,18.8,8,1,8.9,8,1
1926,5,7,17.9,8,1,20.8,8,1,14.4,8,1
1926,5,8,18.4,8,1,24.7,8,1,13.1,8,1
1926,5,9,18.2,8,1,24.9,8,1,9.6,8,1
1926,5,10,18.0,8,1,23.9,8,1,10.8,8,1
1926,5,11,16.5,8,1,20.8,8,1,12.4,8,1
1926,5,12,15.2,8,1,17.5,8,1,12.7,8,1
1926,5,13,11.4,8,1,14.4,8,1,8.0,8,1
1926,5,14,8.3,8,1,11.9,8,1,6.6,8,1
1926,5,15,9.2,8,1,15.3,8,1,6.0,8,1
1926,5,16,11.4,8,1,17.3,8,1,4.4,8,1
1926,5,17,13.4,8,1,19.7,8,1,6.6,8,1
1926,5,18,15.1,8,1,21.2,8,1,9.6,8,1
1926,5,19,17.9,8,1,23.4,8,1,11.5,8,1
1926,5,20,19.0,8,1,23.9,8,1,15.5,8,1
1926,5,21,14.1,8,1,17.1,8,1,12.7,8,1
1926,5,22,16.0,8,1,18.4,8,1,12.9,8,1
1926,5,23,17.0,8,1,21.4,8,1,13.8,8,1
1926,5,24,19.1,8,1,24.1,8,1,15.2,8,1
1926,5,25,17.8,8,1,23.5,8,1,14.3,8,1
