ダウンロードした時刻：2023/11/04 23:37:39

,,,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1924,6,1,20.1,8,1,25.0,8,1,14.9,8,1
1924,6,2,21.6,8,1,25.4,8,1,18.9,8,1
1924,6,3,21.7,8,1,24.8,8,1,18.6,8,1
1924,6,4,19.2,8,1,23.5,8,1,16.3,8,1
1924,6,5,18.0,8,1,20.9,8,1,16.3,8,1
1924,6,6,17.6,8,1,20.7,8,1,15.2,8,1
1924,6,7,16.3,8,1,20.0,8,1,14.3,8,1
1924,6,8,14.9,8,1,19.1,8,1,12.4,8,1
1924,6,9,16.4,8,1,21.9,8,1,12.4,8,1
1924,6,10,15.3,8,1,17.9,8,1,13.5,8,1
1924,6,11,15.8,8,1,18.3,8,1,13.5,8,1
1924,6,12,16.4,8,1,19.1,8,1,14.5,8,1
1924,6,13,15.7,8,1,17.8,8,1,14.2,8,1
1924,6,14,17.6,8,1,22.6,8,1,14.4,8,1
1924,6,15,18.0,8,1,22.8,8,1,13.4,8,1
1924,6,16,20.7,8,1,25.5,8,1,16.9,8,1
1924,6,17,20.2,8,1,25.0,8,1,16.8,8,1
1924,6,18,17.9,8,1,22.1,8,1,15.7,8,1
1924,6,19,20.0,8,1,25.0,8,1,15.3,8,1
1924,6,20,21.1,8,1,26.5,8,1,14.6,8,1
1924,6,21,21.9,8,1,26.3,8,1,15.9,8,1
1924,6,22,22.4,8,1,27.3,8,1,17.2,8,1
1924,6,23,24.4,8,1,28.8,8,1,21.0,8,1
1924,6,24,26.7,8,1,32.4,8,1,21.6,8,1
1924,6,25,22.6,8,1,26.6,8,1,18.2,8,1
1924,6,26,19.8,8,1,24.6,8,1,16.9,8,1
1924,6,27,18.8,8,1,22.8,8,1,15.9,8,1
1924,6,28,19.7,8,1,23.8,8,1,16.0,8,1
1924,6,29,19.7,8,1,24.6,8,1,16.1,8,1
1924,6,30,21.0,8,1,25.8,8,1,15.9,8,1
1925,6,1,19.8,8,1,23.0,8,1,16.4,8,1
1925,6,2,19.7,8,1,22.9,8,1,17.2,8,1
1925,6,3,18.6,8,1,21.0,8,1,16.6,8,1
1925,6,4,19.6,8,1,23.7,8,1,15.7,8,1
1925,6,5,17.5,8,1,21.3,8,1,15.5,8,1
1925,6,6,17.6,8,1,21.3,8,1,14.9,8,1
1925,6,7,17.4,8,1,22.8,8,1,13.7,8,1
1925,6,8,17.4,8,1,22.7,8,1,13.6,8,1
1925,6,9,16.3,8,1,20.4,8,1,13.1,8,1
1925,6,10,16.5,8,1,19.9,8,1,13.7,8,1
1925,6,11,16.0,8,1,19.0,8,1,11.7,8,1
1925,6,12,18.5,8,1,24.3,8,1,13.4,8,1
1925,6,13,20.7,8,1,26.6,8,1,13.4,8,1
1925,6,14,21.0,8,1,24.7,8,1,17.3,8,1
1925,6,15,18.4,8,1,21.5,8,1,16.0,8,1
1925,6,16,20.7,8,1,24.6,8,1,16.4,8,1
1925,6,17,21.3,8,1,25.4,8,1,16.5,8,1
1925,6,18,22.6,8,1,29.3,8,1,17.1,8,1
1925,6,19,19.9,8,1,23.3,8,1,17.3,8,1
1925,6,20,19.3,8,1,21.4,8,1,17.5,8,1
1925,6,21,21.1,8,1,25.4,8,1,18.0,8,1
1925,6,22,20.0,8,1,22.3,8,1,17.8,8,1
1925,6,23,21.5,8,1,25.9,8,1,18.4,8,1
1925,6,24,22.5,8,1,25.5,8,1,19.6,8,1
1925,6,25,24.8,8,1,29.3,8,1,20.0,8,1
1925,6,26,23.2,8,1,28.4,8,1,19.8,8,1
1925,6,27,23.2,8,1,27.4,8,1,18.8,8,1
1925,6,28,24.0,8,1,28.6,8,1,20.8,8,1
1925,6,29,21.7,8,1,26.5,8,1,16.6,8,1
1925,6,30,22.6,8,1,27.7,8,1,16.7,8,1
1926,6,1,17.2,8,1,20.7,8,1,14.0,8,1
1926,6,2,17.2,8,1,23.5,8,1,11.3,8,1
1926,6,3,16.1,8,1,21.3,8,1,12.0,8,1
1926,6,4,16.3,8,1,21.3,8,1,11.2,8,1
1926,6,5,17.2,8,1,22.4,8,1,11.4,8,1
1926,6,6,15.7,8,1,19.1,8,1,13.6,8,1
1926,6,7,19.1,8,1,25.8,8,1,12.1,8,1
1926,6,8,20.5,8,1,26.1,8,1,13.4,8,1
1926,6,9,20.7,8,1,26.9,8,1,14.8,8,1
1926,6,10,22.7,8,1,29.9,8,1,15.6,8,1
1926,6,11,23.7,8,1,30.3,8,1,16.9,8,1
1926,6,12,18.4,8,1,24.6,8,1,13.0,8,1
1926,6,13,13.4,8,1,14.6,8,1,11.9,8,1
1926,6,14,11.8,8,1,12.9,8,1,10.3,8,1
1926,6,15,18.6,8,1,26.1,8,1,11.0,8,1
1926,6,16,18.7,8,1,23.2,8,1,14.4,8,1
1926,6,17,18.8,8,1,24.7,8,1,13.2,8,1
1926,6,18,19.9,8,1,24.4,8,1,13.1,8,1
1926,6,19,20.1,8,1,24.7,8,1,17.2,8,1
1926,6,20,19.7,8,1,25.9,8,1,15.4,8,1
1926,6,21,17.6,8,1,19.9,8,1,14.7,8,1
1926,6,22,18.8,8,1,23.9,8,1,13.6,8,1
1926,6,23,20.0,8,1,23.4,8,1,15.8,8,1
1926,6,24,20.3,8,1,24.2,8,1,16.9,8,1
1926,6,25,20.7,8,1,26.4,8,1,14.4,8,1
1926,6,26,21.0,8,1,24.5,8,1,16.6,8,1
1926,6,27,21.5,8,1,26.8,8,1,17.2,8,1
