ダウンロードした時刻：2023/11/04 23:37:28

,,,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1924,4,1,12.1,8,1,18.1,8,1,6.4,8,1
1924,4,2,12.4,8,1,16.7,8,1,6.9,8,1
1924,4,3,15.2,8,1,18.9,8,1,12.4,8,1
1924,4,4,10.7,8,1,15.3,8,1,8.0,8,1
1924,4,5,9.9,8,1,14.9,8,1,6.9,8,1
1924,4,6,11.1,8,1,15.5,8,1,8.0,8,1
1924,4,7,11.8,8,1,15.9,8,1,8.9,8,1
1924,4,8,12.5,8,1,15.8,8,1,9.7,8,1
1924,4,9,12.7,8,1,17.8,8,1,6.7,8,1
1924,4,10,16.0,8,1,21.1,8,1,9.1,8,1
1924,4,11,16.2,8,1,22.2,8,1,10.1,8,1
1924,4,12,15.9,8,1,19.4,8,1,12.8,8,1
1924,4,13,14.1,8,1,15.4,8,1,12.0,8,1
1924,4,14,16.9,8,1,21.2,8,1,13.6,8,1
1924,4,15,17.4,8,1,22.1,8,1,14.1,8,1
1924,4,16,17.4,8,1,19.4,8,1,16.0,8,1
1924,4,17,17.2,8,1,23.1,8,1,11.1,8,1
1924,4,18,10.6,8,1,12.5,8,1,7.8,8,1
1924,4,19,13.4,8,1,19.0,8,1,7.0,8,1
1924,4,20,14.7,8,1,20.3,8,1,7.9,8,1
1924,4,21,16.3,8,1,19.8,8,1,12.5,8,1
1924,4,22,16.9,8,1,23.0,8,1,12.7,8,1
1924,4,23,15.3,8,1,20.8,8,1,9.7,8,1
1924,4,24,17.5,8,1,22.6,8,1,13.3,8,1
1924,4,25,17.2,8,1,18.9,8,1,15.1,8,1
1924,4,26,18.5,8,1,23.6,8,1,11.9,8,1
1924,4,27,14.3,8,1,19.1,8,1,9.1,8,1
1924,4,28,14.3,8,1,19.2,8,1,10.5,8,1
1924,4,29,15.2,8,1,21.1,8,1,8.0,8,1
1924,4,30,17.5,8,1,21.2,8,1,14.1,8,1
1925,4,1,9.5,8,1,12.2,8,1,5.2,8,1
1925,4,2,12.8,8,1,17.6,8,1,8.8,8,1
1925,4,3,14.8,8,1,20.8,8,1,9.8,8,1
1925,4,4,8.5,8,1,13.5,8,1,1.9,8,1
1925,4,5,3.6,8,1,7.4,8,1,0.3,8,1
1925,4,6,6.2,8,1,11.7,8,1,2.3,8,1
1925,4,7,8.2,8,1,13.6,8,1,1.6,8,1
1925,4,8,11.5,8,1,19.6,8,1,6.6,8,1
1925,4,9,8.0,8,1,12.0,8,1,3.9,8,1
1925,4,10,8.8,8,1,14.2,8,1,1.4,8,1
1925,4,11,10.8,8,1,15.4,8,1,2.9,8,1
1925,4,12,11.1,8,1,14.6,8,1,8.9,8,1
1925,4,13,12.4,8,1,18.0,8,1,5.1,8,1
1925,4,14,12.4,8,1,18.3,8,1,7.3,8,1
1925,4,15,8.2,8,1,10.2,8,1,6.1,8,1
1925,4,16,9.8,8,1,16.5,8,1,3.4,8,1
1925,4,17,10.5,8,1,17.1,8,1,2.1,8,1
1925,4,18,12.4,8,1,19.9,8,1,3.4,8,1
1925,4,19,14.3,8,1,20.5,8,1,6.1,8,1
1925,4,20,15.1,8,1,20.5,8,1,7.8,8,1
1925,4,21,16.9,8,1,21.4,8,1,12.9,8,1
1925,4,22,15.9,8,1,19.5,8,1,13.6,8,1
1925,4,23,15.0,8,1,18.3,8,1,12.6,8,1
1925,4,24,15.9,8,1,21.4,8,1,12.1,8,1
1925,4,25,16.7,8,1,22.3,8,1,10.4,8,1
1925,4,26,15.0,8,1,18.1,8,1,13.8,8,1
1925,4,27,15.8,8,1,21.4,8,1,11.8,8,1
1925,4,28,14.0,8,1,17.1,8,1,11.5,8,1
1925,4,29,13.2,8,1,18.1,8,1,10.1,8,1
1925,4,30,10.6,8,1,13.2,8,1,7.7,8,1
1926,4,1,12.0,8,1,19.1,8,1,4.1,8,1
1926,4,2,13.3,8,1,19.7,8,1,5.7,8,1
1926,4,3,7.1,8,1,11.8,8,1,4.1,8,1
1926,4,4,7.5,8,1,12.7,8,1,2.4,8,1
1926,4,5,8.2,8,1,15.3,8,1,0.9,8,1
1926,4,6,6.0,8,1,9.5,8,1,3.6,8,1
1926,4,7,10.2,8,1,19.0,8,1,0.3,8,1
1926,4,8,14.4,8,1,22.4,8,1,5.6,8,1
1926,4,9,16.6,8,1,22.6,8,1,9.1,8,1
1926,4,10,12.4,8,1,19.4,8,1,6.4,8,1
1926,4,11,9.3,8,1,12.9,8,1,5.5,8,1
1926,4,12,9.5,8,1,17.1,8,1,1.7,8,1
1926,4,13,9.3,8,1,14.4,8,1,1.2,8,1
1926,4,14,8.7,8,1,17.4,8,1,2.3,8,1
1926,4,15,7.5,8,1,12.9,8,1,2.1,8,1
1926,4,16,10.1,8,1,16.9,8,1,0.5,8,1
1926,4,17,14.8,8,1,19.9,8,1,6.7,8,1
1926,4,18,15.0,8,1,20.1,8,1,10.0,8,1
1926,4,19,11.2,8,1,16.0,8,1,6.5,8,1
1926,4,20,13.5,8,1,20.4,8,1,3.0,8,1
1926,4,21,14.4,8,1,20.5,8,1,7.5,8,1
1926,4,22,10.9,8,1,17.0,8,1,4.3,8,1
1926,4,23,11.5,8,1,17.4,8,1,2.7,8,1
1926,4,24,12.8,8,1,15.7,8,1,9.0,8,1
1926,4,25,15.0,8,1,20.3,8,1,9.7,8,1
1926,4,26,8.5,8,1,12.9,8,1,4.0,8,1
1926,4,27,10.1,8,1,16.9,8,1,2.0,8,1
