ダウンロードした時刻：2023/11/04 23:38:12

,,,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1923,12,1,5.7,8,1,10.0,8,1,2.9,8,1
1923,12,2,4.6,8,1,11.2,8,1,0.2,8,1
1923,12,3,4.4,8,1,9.7,8,1,0.1,8,1
1923,12,4,3.9,8,1,9.6,8,1,-0.9,8,1
1923,12,5,3.8,8,1,8.9,8,1,-1.0,8,1
1923,12,6,5.7,8,1,7.9,8,1,2.3,8,1
1923,12,7,9.6,8,1,11.4,8,1,6.2,8,1
1923,12,8,12.0,8,1,17.9,8,1,6.0,8,1
1923,12,9,12.3,8,1,16.2,8,1,7.7,8,1
1923,12,10,7.4,8,1,11.3,8,1,6.3,8,1
1923,12,11,8.4,8,1,13.0,8,1,5.0,8,1
1923,12,12,4.6,8,1,7.8,8,1,1.9,8,1
1923,12,13,4.6,8,1,6.9,8,1,0.8,8,1
1923,12,14,8.4,8,1,12.9,8,1,5.4,8,1
1923,12,15,4.9,8,1,7.7,8,1,4.2,8,1
1923,12,16,6.0,8,1,13.3,8,1,1.1,8,1
1923,12,17,7.4,8,1,14.0,8,1,2.1,8,1
1923,12,18,6.3,8,1,14.3,8,1,-0.5,8,1
1923,12,19,4.2,8,1,9.5,8,1,-1.0,8,1
1923,12,20,3.3,8,1,10.0,8,1,-2.2,8,1
1923,12,21,5.0,8,1,10.9,8,1,0.9,8,1
1923,12,22,4.9,8,1,7.8,8,1,1.3,8,1
1923,12,23,6.0,8,1,10.6,8,1,1.2,8,1
1923,12,24,3.4,8,1,9.8,8,1,-1.4,8,1
1923,12,25,4.3,8,1,11.5,8,1,-3.1,8,1
1923,12,26,10.6,8,1,15.6,8,1,1.6,8,1
1923,12,27,6.1,8,1,11.9,8,1,2.6,8,1
1923,12,28,3.8,8,1,9.4,8,1,0.6,8,1
1923,12,29,0.9,8,1,4.7,8,1,-3.5,8,1
1923,12,30,-0.5,8,1,7.4,8,1,-5.8,8,1
1923,12,31,1.3,8,1,9.4,8,1,-5.1,8,1
1924,12,1,8.2,8,1,14.9,8,1,4.5,8,1
1924,12,2,7.9,8,1,15.5,8,1,2.2,8,1
1924,12,3,7.5,8,1,14.1,8,1,1.9,8,1
1924,12,4,9.1,8,1,16.5,8,1,1.6,8,1
1924,12,5,7.3,8,1,12.6,8,1,2.4,8,1
1924,12,6,5.9,8,1,8.1,8,1,4.4,8,1
1924,12,7,3.5,8,1,4.9,8,1,1.1,8,1
1924,12,8,6.1,8,1,12.3,8,1,1.1,8,1
1924,12,9,3.0,8,1,3.7,8,1,1.7,8,1
1924,12,10,6.1,8,1,11.9,8,1,2.5,8,1
1924,12,11,5.2,8,1,13.1,8,1,-2.0,8,1
1924,12,12,3.2,8,1,8.9,8,1,-1.4,8,1
1924,12,13,4.5,8,1,10.9,8,1,-3.0,8,1
1924,12,14,5.0,8,1,10.9,8,1,-0.1,8,1
1924,12,15,6.3,8,1,11.3,8,1,3.1,8,1
1924,12,16,6.4,8,1,11.2,8,1,3.3,8,1
1924,12,17,4.3,8,1,9.2,8,1,0.3,8,1
1924,12,18,2.6,8,1,8.5,8,1,-1.1,8,1
1924,12,19,5.2,8,1,13.7,8,1,-2.9,8,1
1924,12,20,5.0,8,1,8.7,8,1,1.1,8,1
1924,12,21,3.1,8,1,8.6,8,1,0.0,8,1
1924,12,22,3.2,8,1,9.8,8,1,-3.1,8,1
1924,12,23,4.0,8,1,10.4,8,1,-0.8,8,1
1924,12,24,4.6,8,1,10.3,8,1,-1.6,8,1
1924,12,25,4.3,8,1,11.6,8,1,-1.0,8,1
1924,12,26,3.8,8,1,6.4,8,1,1.4,8,1
1924,12,27,5.0,8,1,8.3,8,1,2.4,8,1
1924,12,28,5.4,8,1,9.4,8,1,1.4,8,1
1924,12,29,4.0,8,1,8.9,8,1,-1.0,8,1
1924,12,30,6.6,8,1,8.7,8,1,3.4,8,1
1924,12,31,6.1,8,1,7.5,8,1,4.2,8,1
1925,12,1,9.0,8,1,13.6,8,1,4.7,8,1
1925,12,2,10.8,8,1,17.7,8,1,4.5,8,1
1925,12,3,8.5,8,1,14.9,8,1,2.6,8,1
1925,12,4,6.5,8,1,12.1,8,1,1.4,8,1
1925,12,5,8.0,8,1,11.7,8,1,3.5,8,1
1925,12,6,8.0,8,1,15.1,8,1,1.4,8,1
1925,12,7,8.6,8,1,13.5,8,1,1.9,8,1
1925,12,8,8.9,8,1,14.0,8,1,5.4,8,1
1925,12,9,8.0,8,1,15.9,8,1,1.3,8,1
1925,12,10,9.0,8,1,14.8,8,1,4.3,8,1
1925,12,11,9.4,8,1,16.3,8,1,3.2,8,1
1925,12,12,7.7,8,1,14.3,8,1,2.2,8,1
1925,12,13,7.6,8,1,14.3,8,1,1.9,8,1
1925,12,14,6.1,8,1,12.8,8,1,1.2,8,1
1925,12,15,7.1,8,1,13.9,8,1,-0.9,8,1
1925,12,16,11.2,8,1,17.8,8,1,5.2,8,1
1925,12,17,4.2,8,1,8.4,8,1,-0.1,8,1
1925,12,18,1.5,8,1,5.7,8,1,-2.8,8,1
1925,12,19,3.4,8,1,10.8,8,1,-5.4,8,1
1925,12,20,5.7,8,1,11.0,8,1,-1.8,8,1
1925,12,21,5.4,8,1,9.6,8,1,2.2,8,1
1925,12,22,7.5,8,1,13.4,8,1,1.2,8,1
1925,12,23,4.0,8,1,10.4,8,1,-1.8,8,1
1925,12,24,2.9,8,1,8.1,8,1,-1.3,8,1
