ダウンロードした時刻：2023/11/04 23:37:17

,,,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1924,2,1,5.0,8,1,13.2,8,1,-1.2,8,1
1924,2,2,1.4,8,1,7.2,8,1,-1.6,8,1
1924,2,3,0.4,8,1,3.9,8,1,-2.7,8,1
1924,2,4,0.7,8,1,8.1,8,1,-4.7,8,1
1924,2,5,4.3,8,1,11.0,8,1,-3.7,8,1
1924,2,6,4.7,8,1,10.9,8,1,-0.3,8,1
1924,2,7,5.8,8,1,9.4,8,1,1.8,8,1
1924,2,8,12.4,8,1,20.5,8,1,6.6,8,1
1924,2,9,8.4,8,1,12.4,8,1,4.7,8,1
1924,2,10,5.7,8,1,7.7,8,1,3.9,8,1
1924,2,11,8.1,8,1,11.3,8,1,5.5,8,1
1924,2,12,5.2,8,1,7.4,8,1,4.3,8,1
1924,2,13,2.3,8,1,5.7,8,1,-1.0,8,1
1924,2,14,2.7,8,1,9.1,8,1,-5.0,8,1
1924,2,15,5.8,8,1,13.3,8,1,-2.6,8,1
1924,2,16,2.3,8,1,7.4,8,1,-1.9,8,1
1924,2,17,1.3,8,1,7.3,8,1,-5.1,8,1
1924,2,18,4.3,8,1,9.7,8,1,-1.6,8,1
1924,2,19,6.1,8,1,13.2,8,1,-2.1,8,1
1924,2,20,6.4,8,1,11.1,8,1,3.1,8,1
1924,2,21,7.4,8,1,15.5,8,1,0.1,8,1
1924,2,22,4.3,8,1,8.4,8,1,0.5,8,1
1924,2,23,4.0,8,1,8.4,8,1,0.6,8,1
1924,2,24,1.5,8,1,5.9,8,1,-2.2,8,1
1924,2,25,2.2,8,1,9.1,8,1,-5.0,8,1
1924,2,26,3.0,8,1,8.1,8,1,-1.5,8,1
1924,2,27,4.7,8,1,10.0,8,1,-1.7,8,1
1924,2,28,4.9,8,1,10.1,8,1,1.2,8,1
1924,2,29,4.3,8,1,8.7,8,1,-0.1,8,1
1925,2,1,-0.5,8,1,5.8,8,1,-6.6,8,1
1925,2,2,1.5,8,1,7.0,8,1,-3.4,8,1
1925,2,3,1.7,8,1,8.2,8,1,-5.6,8,1
1925,2,4,1.5,8,1,6.5,8,1,-1.9,8,1
1925,2,5,2.6,8,1,7.2,8,1,-3.4,8,1
1925,2,6,2.4,8,1,3.2,8,1,1.2,8,1
1925,2,7,4.5,8,1,7.4,8,1,1.4,8,1
1925,2,8,4.3,8,1,9.4,8,1,-0.8,8,1
1925,2,9,4.2,8,1,8.0,8,1,-1.2,8,1
1925,2,10,5.2,8,1,12.4,8,1,1.3,8,1
1925,2,11,2.3,8,1,6.7,8,1,-1.7,8,1
1925,2,12,1.5,8,1,7.5,8,1,-4.9,8,1
1925,2,13,1.7,8,1,7.4,8,1,-1.6,8,1
1925,2,14,1.9,8,1,8.1,8,1,-5.5,8,1
1925,2,15,4.2,8,1,10.5,8,1,-0.6,8,1
1925,2,16,4.0,8,1,8.4,8,1,-0.4,8,1
1925,2,17,2.6,8,1,4.6,8,1,0.3,8,1
1925,2,18,5.1,8,1,9.9,8,1,-0.7,8,1
1925,2,19,3.3,8,1,5.5,8,1,0.7,8,1
1925,2,20,2.0,8,1,5.9,8,1,-0.5,8,1
1925,2,21,1.9,8,1,4.9,8,1,-1.0,8,1
1925,2,22,0.1,8,1,2.0,8,1,-1.5,8,1
1925,2,23,2.9,8,1,8.4,8,1,-1.8,8,1
1925,2,24,2.5,8,1,7.2,8,1,-2.3,8,1
1925,2,25,1.5,8,1,5.4,8,1,-2.0,8,1
1925,2,26,0.9,8,1,4.2,8,1,-2.5,8,1
1925,2,27,2.2,8,1,6.5,8,1,-0.9,8,1
1925,2,28,0.2,8,1,4.8,8,1,-4.1,8,1
1925,3,1,0.7,8,1,6.9,8,1,-4.1,8,1
1926,2,1,2.8,8,1,8.2,8,1,-1.7,8,1
1926,2,2,3.3,8,1,10.9,8,1,-3.7,8,1
1926,2,3,3.1,8,1,7.6,8,1,-1.6,8,1
1926,2,4,5.0,8,1,8.3,8,1,0.4,8,1
1926,2,5,4.9,8,1,9.1,8,1,1.4,8,1
1926,2,6,3.9,8,1,10.1,8,1,-1.8,8,1
1926,2,7,4.1,8,1,9.7,8,1,0.3,8,1
1926,2,8,4.4,8,1,8.1,8,1,-0.4,8,1
1926,2,9,5.7,8,1,14.1,8,1,-2.0,8,1
1926,2,10,5.5,8,1,9.6,8,1,2.8,8,1
1926,2,11,5.7,8,1,11.8,8,1,0.2,8,1
1926,2,12,1.5,8,1,5.4,8,1,-2.2,8,1
1926,2,13,2.6,8,1,9.4,8,1,-3.3,8,1
1926,2,14,5.1,8,1,11.3,8,1,-1.5,8,1
1926,2,15,8.3,8,1,16.0,8,1,2.6,8,1
1926,2,16,1.2,8,1,5.4,8,1,-2.0,8,1
1926,2,17,2.3,8,1,9.1,8,1,-6.0,8,1
1926,2,18,4.2,8,1,8.4,8,1,-1.6,8,1
1926,2,19,5.5,8,1,10.9,8,1,2.1,8,1
1926,2,20,4.6,8,1,8.9,8,1,0.6,8,1
1926,2,21,4.5,8,1,9.7,8,1,0.6,8,1
1926,2,22,2.1,8,1,6.8,8,1,-2.4,8,1
1926,2,23,6.8,8,1,11.7,8,1,1.2,8,1
1926,2,24,6.3,8,1,10.8,8,1,0.6,8,1
1926,2,25,4.5,8,1,10.8,8,1,-1.8,8,1
1926,2,26,6.3,8,1,10.2,8,1,1.3,8,1
1926,2,27,6.5,8,1,9.1,8,1,3.9,8,1
1926,2,28,6.9,8,1,11.9,8,1,1.7,8,1
