ダウンロードした時刻：2023/11/04 23:37:50

,,,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,
,,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1924,8,1,27.0,8,1,32.0,8,1,23.7,8,1
1924,8,2,27.2,8,1,32.2,8,1,22.3,8,1
1924,8,3,27.7,8,1,33.1,8,1,23.4,8,1
1924,8,4,26.0,8,1,29.7,8,1,23.3,8,1
1924,8,5,28.0,8,1,32.9,8,1,25.0,8,1
1924,8,6,25.5,8,1,28.9,8,1,24.0,8,1
1924,8,7,27.1,8,1,32.4,8,1,23.3,8,1
1924,8,8,27.7,8,1,32.0,8,1,24.0,8,1
1924,8,9,27.1,8,1,31.7,8,1,23.3,8,1
1924,8,10,26.7,8,1,32.2,8,1,22.0,8,1
1924,8,11,26.3,8,1,31.7,8,1,21.1,8,1
1924,8,12,27.8,8,1,34.2,8,1,20.7,8,1
1924,8,13,28.4,8,1,34.6,8,1,23.2,8,1
1924,8,14,27.4,8,1,32.3,8,1,22.7,8,1
1924,8,15,25.7,8,1,28.7,8,1,23.2,8,1
1924,8,16,24.1,8,1,28.3,8,1,20.7,8,1
1924,8,17,24.7,8,1,30.4,8,1,21.0,8,1
1924,8,18,24.2,8,1,28.2,8,1,20.3,8,1
1924,8,19,25.3,8,1,28.9,8,1,22.5,8,1
1924,8,20,27.3,8,1,32.6,8,1,23.4,8,1
1924,8,21,28.0,8,1,32.3,8,1,25.3,8,1
1924,8,22,26.2,8,1,28.3,8,1,24.2,8,1
1924,8,23,29.2,8,1,36.1,8,1,23.8,8,1
1924,8,24,26.9,8,1,32.7,8,1,20.7,8,1
1924,8,25,23.9,8,1,27.8,8,1,21.9,8,1
1924,8,26,21.4,8,1,22.6,8,1,20.1,8,1
1924,8,27,21.5,8,1,23.9,8,1,19.8,8,1
1924,8,28,24.0,8,1,28.4,8,1,19.5,8,1
1924,8,29,25.4,8,1,30.4,8,1,21.4,8,1
1924,8,30,26.6,8,1,31.2,8,1,23.1,8,1
1924,8,31,26.7,8,1,31.7,8,1,22.3,8,1
1925,8,1,24.9,8,1,30.0,8,1,21.8,8,1
1925,8,2,24.5,8,1,29.1,8,1,21.8,8,1
1925,8,3,23.5,8,1,27.7,8,1,20.7,8,1
1925,8,4,24.1,8,1,28.0,8,1,20.5,8,1
1925,8,5,23.6,8,1,26.9,8,1,20.8,8,1
1925,8,6,24.9,8,1,28.0,8,1,22.2,8,1
1925,8,7,25.9,8,1,30.3,8,1,22.2,8,1
1925,8,8,26.0,8,1,30.3,8,1,22.7,8,1
1925,8,9,26.0,8,1,29.9,8,1,22.5,8,1
1925,8,10,26.6,8,1,30.1,8,1,24.5,8,1
1925,8,11,26.5,8,1,30.9,8,1,23.4,8,1
1925,8,12,25.2,8,1,29.7,8,1,21.7,8,1
1925,8,13,25.2,8,1,30.1,8,1,21.5,8,1
1925,8,14,23.9,8,1,27.8,8,1,21.8,8,1
1925,8,15,26.5,8,1,30.0,8,1,22.9,8,1
1925,8,16,25.6,8,1,28.6,8,1,24.0,8,1
1925,8,17,26.4,8,1,29.0,8,1,24.4,8,1
1925,8,18,25.7,8,1,29.0,8,1,24.1,8,1
1925,8,19,26.4,8,1,30.9,8,1,23.0,8,1
1925,8,20,25.5,8,1,30.6,8,1,21.3,8,1
1925,8,21,26.2,8,1,30.9,8,1,22.6,8,1
1925,8,22,26.1,8,1,31.0,8,1,22.3,8,1
1925,8,23,25.5,8,1,30.4,8,1,21.2,8,1
1925,8,24,25.0,8,1,29.9,8,1,20.5,8,1
1925,8,25,24.0,8,1,26.6,8,1,22.2,8,1
1925,8,26,24.8,8,1,25.9,8,1,24.0,8,1
1925,8,27,27.2,8,1,31.5,8,1,23.2,8,1
1925,8,28,28.3,8,1,33.6,8,1,22.6,8,1
1925,8,29,27.1,8,1,31.4,8,1,23.7,8,1
1925,8,30,27.2,8,1,30.9,8,1,24.3,8,1
1925,8,31,27.8,8,1,31.8,8,1,24.6,8,1
1926,8,1,30.3,8,1,36.4,8,1,23.8,8,1
1926,8,2,28.4,8,1,33.1,8,1,24.4,8,1
1926,8,3,27.8,8,1,32.9,8,1,24.5,8,1
1926,8,4,28.7,8,1,33.8,8,1,24.2,8,1
1926,8,5,28.4,8,1,32.8,8,1,25.2,8,1
1926,8,6,28.3,8,1,34.5,8,1,23.6,8,1
1926,8,7,23.8,8,1,27.7,8,1,20.0,8,1
1926,8,8,24.7,8,1,29.3,8,1,20.6,8,1
1926,8,9,22.4,8,1,23.8,8,1,21.2,8,1
1926,8,10,26.3,8,1,32.0,8,1,21.2,8,1
1926,8,11,27.8,8,1,32.9,8,1,22.9,8,1
1926,8,12,29.4,8,1,35.9,8,1,23.7,8,1
1926,8,13,28.7,8,1,33.0,8,1,24.2,8,1
1926,8,14,29.4,8,1,35.1,8,1,24.4,8,1
1926,8,15,26.9,8,1,32.8,8,1,23.1,8,1
1926,8,16,25.2,8,1,29.9,8,1,22.4,8,1
1926,8,17,25.9,8,1,27.4,8,1,23.6,8,1
1926,8,18,26.1,8,1,33.4,8,1,21.5,8,1
1926,8,19,20.6,8,1,22.4,8,1,19.0,8,1
1926,8,20,22.2,8,1,25.6,8,1,18.5,8,1
1926,8,21,23.4,8,1,26.4,8,1,20.4,8,1
1926,8,22,25.9,8,1,29.5,8,1,22.3,8,1
1926,8,23,26.1,8,1,30.2,8,1,22.8,8,1
1926,8,24,24.7,8,1,29.0,8,1,21.6,8,1
1926,8,25,22.1,8,1,24.3,8,1,19.7,8,1
